Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in thoundsands EUR,Employment status,Contract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Software Engineer,9,Senior,60.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,JavaScript; ,,,,,,
DevOps,1,Middle,60.0,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Java; ,,,,,,
Mobile Developer,1,Junior,50.0,Full-time employee,Unlimited contract,011-050,Startup,0,Java; ,,,,,,
Software Engineer,12,Lead,120.0,Full-time employee,Unlimited contract,101-1000,Product,0,Golang; ,,,,,,
Data Analyst,2,Middle,62.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
QA,11,Senior,60.0,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Software Engineer,2,Middle,58.0,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,No info,No info; ,No info,No info,No info,No info,No info
Product Manager,17,Lead,81.0,Full-time employee,Unlimited contract,011-050,Product,1500,,,,,,Linux; ,
DevOps,13,Lead,70.0,Full-time employee,Unlimited contract,011-050,Product,,No info,No info; ,No info,No info,No info,No info,No info
Frontend Developer,6,Senior,80.0,Full-time employee,Unlimited contract,011-050,Product,0,JavaScript; ,,,,,,
Data Scientist,7,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Startup,200,,,,,,,
Software Engineer,6,Middle,63.7,Full-time employee,Unlimited contract,1000+,e-commerce,580,Java; ,,,,,,
Software Engineer,4,Middle,65.0,Full-time employee,Unlimited contract,101-1000,Product,,C#; ,,,,,,
Product Manager,3,Junior,30.0,Full-time employee,Unlimited contract,011-050,Product,,No info,No info; ,No info,No info,No info,No info,No info
Data Scientist,4,Middle,70.0,Full-time employee,Unlimited contract,101-1000,Product,250,Python; ,,,,,,
Frontend Developer,10,Middle,48.0,Part-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Software tester,9,Lead,66.0,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Data Analyst,3,,67.0,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Mobile Developer,10,Senior,70.0,Full-time employee,Unlimited contract,51-100,Product,,Kotlin; ,,,,,Android; ,
Data Scientist,4,Middle,65.0,Full-time employee,Unlimited contract,101-1000,,1000,Python; ,,,,,,
Software Architect,20,Lead,122.0,Full-time employee,Unlimited contract,1000+,Product,200,,,,,,,
Software Engineer,15,Senior,150.0,Full-time employee,,,,,Java; ,,,,,,
Frontend Developer,,Middle,40.8,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,6,Middle,58.0,Full-time employee,Temporary contract,1000+,Product,,PHP; ,,,,,,
QA,6,Middle,69.2,Full-time employee,Unlimited contract,101-1000,SaaS,,Groovy; ,,,,,,
Software Engineer,7,Senior,72.0,Full-time employee,Unlimited contract,011-050,Startup,1500,Python; ,,,,,,
Account Manager,4,Key,57.0,Full-time employee,Unlimited contract,101-1000,Product,500,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,16,Lead,84.0,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Scientist,5,Middle,59.0,Full-time employee,Unlimited contract,101-1000,Startup,300,Python; ,,,,,,
Frontend Developer,7,Middle,68.0,Full-time employee,Unlimited contract,101-1000,Startup,,TypeScript; ,,,,,,
Data Engineer,5,Middle,68.0,Full-time employee,Unlimited contract,1000+,Startup,1000,Python; ,,,,,,
Software Engineer,10,Senior,88.0,Full-time employee,Unlimited contract,1000+,Product,,TypeScript; ,,,,,,
Software Engineer,5,Middle,71.0,Full-time employee,Unlimited contract,1000+,Product,,Swift; ,,,,,,
Data Engineer,5,Middle,65.0,Full-time employee,Unlimited contract,101-1000,Product,500,Scala; ,,,,,,
Data Scientist,5,Middle,50.0,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Software Engineer,18,Senior,160.0,Self-employed (freelancer),Temporary contract,0-10,Consulting / Agency,,Java; ,,,,,,
Data Scientist,4,Middle,37.5,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Python; ,,,,,,
Software Engineer,10,Middle,65.0,Full-time employee,Unlimited contract,51-100,Startup,,,,,,,,
Software Engineer,5,Middle,56.0,Full-time employee,Unlimited contract,011-050,Startup,0,Java; ,,,,,,
DevOps,7,Senior,80.0,Full-time employee,Unlimited contract,101-1000,Startup,0,Golang; ,,,,,,
Software Engineer,16,Senior,83.0,Full-time employee,Unlimited contract,1000+,Product,700,Java; ,,,,,,
QA,5,Senior,76.5,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Frontend Developer,8,Senior,60.0,Full-time employee,Unlimited contract,011-050,Product,0,TypeScript; ,,,,,,
Frontend Developer,8,Senior,79.0,Full-time employee,Unlimited contract,1000+,Product,,TypeScript; ,,,,,,
Data Scientist,5,Middle,90.0,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
ML Engineer,6,Middle,82.0,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Data Scientist,9,Middle,50.0,,Unlimited contract,0-10,Product,,Python; ,,,,,,
Backend Developer,10,Senior,78.0,Full-time employee,Unlimited contract,011-050,Startup,,Scala; ,,,,,,
Software Engineer,6,Senior,60.0,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Frontend Developer,10,Senior,75.0,Full-time employee,Unlimited contract,1000+,Startup,,JavaScript; ,,,,,,
Tech Lead,24,Head,130.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
No info,10,No info,115.0,Full-time employee,Unlimited contract,51-100,Startup,0,Python; ,,,,,,
QA,7,Senior,65.0,Full-time employee,Temporary contract,51-100,Startup,,Swift; ,,,,,,
SRE,10,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Product,300,,,,,,,
ML Engineer,2,Middle,36.0,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Data Scientist,6,Senior,76.0,Full-time employee,Unlimited contract,1000+,Product,700,Python; ,,,,,,
Data Engineer,5,Lead,90.0,Full-time employee,Unlimited contract,1000+,Product,700,No info,No info; ,No info,No info,No info,No info,No info
Data Engineer,2,Middle,54.0,Full-time employee,Unlimited contract,1000+,Product,700,Python; ,,,,,,
Data Engineer,3,Senior,65.0,Full-time employee,Unlimited contract,1000+,Product,700,Scala; ,,,,,,
Product Manager,3,Junior,30.0,Full-time employee,Unlimited contract,011-050,Product,,No info,No info; ,No info,No info,No info,No info,No info
DevOps,4,Middle,66.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,,,,,AWS; ,,
Product Manager,7,Head,60.0,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info; ,No info,No info,No info,No info,No info
Sales,4,Middle,63.0,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,.NET; ,,,,,
Data Scientist,2,Middle,62.0,Full-time employee,Unlimited contract,101-1000,Publisher,0,Python; ,,,,,,
Data Scientist,1,Junior,51.0,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Backend Developer,11,Senior,154.0,Self-employed (freelancer),Temporary contract,011-050,Startup,,Scala; ,,,,,,
AI,20,Head,200.0,Self-employed (freelancer),No info,0-10,Consulting / Agency,,C; ,,,,,,
Data Scientist,6,Senior,78.0,Full-time employee,Unlimited contract,1000+,E-commerce,,No info,No info; ,No info,No info,No info,No info,No info
Data Scientist,1,Junior,300.0,Full-time employee,,101-1000,Startup,,C++; ,,,,,,
DevOps,10,Lead,78.0,,,101-1000,Product,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,5,Senior,57.0,Full-time employee,Temporary contract,0-10,Consulting / Agency,0,JavaScript; ,NodeJS; ,,,,,
Data Scientist,4,Middle,45.0,Full-time employee,Temporary contract,101-1000,Startup,0,,,,,,,
Frontend Developer,3,Middle,43.0,Full-time employee,Unlimited contract,51-100,Product,,,React; ,,,,,
No info,4,Middle,39.0,Full-time employee,Temporary contract,1000+,Startup,0,,,,,,,
Frontend Developer,4,Senior,73.0,Full-time employee,Unlimited contract,101-1000,Product,0,TypeScript; ,,,,,,
Frontend Developer,11,Senior,74.0,Full-time employee,Unlimited contract,1000+,Product,900,TypeScript; ,,,,,,
Project Manager,10,Senior,86.0,Full-time employee,Unlimited contract,1000+,Product,4800,,,,,,,
Frontend Developer,9,Senior,74.0,Full-time employee,Unlimited contract,1000+,Startup,,JavaScript; ,,,,,,
DevOps,10,Middle,55.0,Full-time employee,Unlimited contract,101-1000,Product,,Bash; ,,,,,,
Researcher,4,Middle,40.0,Full-time employee,Temporary contract,0-10,University,,C++; ,,,,,,
Product Manager,7,Senior,85.0,Full-time employee,Unlimited contract,101-1000,Product,350,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,4,Middle,56.0,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,7,Middle,70.0,Full-time employee,Unlimited contract,51-100,Product,,C++; ,,,,,,
QA,10,Middle,68.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
QA,10,Senior,70.0,Full-time employee,Unlimited contract,1000+,Product,0,JavaScript; ,,,,,,
Data Scientist,6,Senior,72.0,Full-time employee,Unlimited contract,1000+,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Engineering manager,15,Head,80.0,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,15,Principal,77.0,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Software Engineer,8,Senior,77.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Data Scientist,15,Senior,56.0,Full-time employee,Unlimited contract,011-050,Product,0,Python; ,,,,,,
Data Scientist,10,Senior,80.0,Full-time employee,Unlimited contract,1000+,No info,,R; ,,,,,,
Backend Developer,13,Senior,90.0,Full-time employee,Unlimited contract,0-10,Startup,,JavaScript; ,NodeJS; ,,,,,
QA,5,Middle,54.0,Full-time employee,Unlimited contract,011-050,Product,,TypeScript; ,,,,,,
Data Scientist,0,No info,20.0,Full-time employee,Temporary contract,1000+,Product,,Python; ,,,,,,
Engineering Manager,18,Head,98.0,Full-time employee,Unlimited contract,1000+,Product,0,C++; ,,,,,,
Backend Developer,20,Senior,93.0,Full-time employee,Unlimited contract,1000+,Product,1000,Python; ,,,,,,
Software Engineer,18,Lead,100.0,Full-time employee,Unlimited contract,51-100,Product,,PHP; ,,,,,,
Data Scientist,6,Senior,70.0,Full-time employee,Unlimited contract,1000+,Product,700,,,,,,,
Software Engineer,10,Lead,75.0,Full-time employee,Unlimited contract,101-1000,Startup,0,,,,,,,
Software Engineer,3,Middle,63.0,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Backend Developer,5,Senior,70.0,Full-time employee,Unlimited contract,1000+,Product,700,Java; ,,,,,,
Backend Developer,3,Middle,80.0,Full-time employee,Unlimited contract,1000+,Product,400,Java; ,,,,,,
ML Engineer,4.5,Middle,75.0,Full-time employee,Unlimited contract,011-050,Startup,0,,No info; ,,,,,
QA,10,Lead,85.0,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Backend Developer,30,Senior,55.0,Full-time employee,Unlimited contract,011-050,Startup,0,PHP; ,,,,,,
Software Engineer,15,Senior,78.0,Full-time employee,Unlimited contract,1000+,Product,,C; ,,,,,,
Software Engineer,9,Lead,99.0,Full-time employee,Unlimited contract,101-1000,Startup,,,,,,,,
Backend Developer,15,Senior,90.0,Full-time employee,Unlimited contract,011-050,Product,0,Golang; ,,,,,,
Product Manager,15,Lead,52.0,Full-time employee,Unlimited contract,011-050,Product,0,Java; ,,,,,,
Software Engineer,16,Senior,36.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Data Analyst,4,Middle,45.0,Full-time employee,Unlimited contract,011-050,Product,,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,14,Middle,75.0,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Team Lead,20,Lead,85.0,Full-time employee,Unlimited contract,1000+,Enterprise,300,C#; ,,,,,,
Backend Developer,7,Senior,95.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,15,Senior,63.0,Full-time employee,Unlimited contract,51-100,Product,0,C; ,,,,,,
Backend Developer,12,Senior,102.0,Full-time employee,Unlimited contract,101-1000,Startup,400,Java; ,,,,,,
Software Engineer,10,Lead,95.0,Full-time employee,Unlimited contract,1000+,Product,0,C; ,,,,,,
Backend Developer,13,Senior,78.6,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Software Engineer,10,Lead,70.0,Full-time employee,Unlimited contract,101-1000,Product,1500,Java; ,,,,,,
Software Engineer,4,Middle,67.0,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Software Engineer,3,Middle,42.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,1000,Java; ,,,,,,
QA,6,Senior,53.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,Python; ,,,,,,
Software Engineer,20,Lead,250.0,Full-time employee,Unlimited contract,1000+,Product,,Swift; ,,,,,,
Software Engineer,3,Middle,53.0,Full-time employee,Unlimited contract,1000+,Product,550,Java; ,,,,,,
Data Analyst,9,Senior,77.0,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Software Engineer,15,Senior,80.0,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,,.NET; ,,,,,
DevOps,20,Senior,58.8,Full-time employee,Unlimited contract,1000+,Bloody enterprise,,,,,,,Linux; UNIX; ,
DevOps,8,Senior,75.0,Full-time employee,Unlimited contract,1000+,No info,500,,,,,AWS; ,,
Data Engineer,13,Senior,85.0,Full-time employee,Unlimited contract,101-1000,Startup,500,Python; ,,,,,,
Software Engineer,15,Senior,70.0,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Software Engineer,10,Senior,78.0,Full-time employee,Unlimited contract,0-10,Product,0,PHP; ,,,,,,
Data Scientist,5,Senior,75.0,Part-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Software Engineer,27,Senior,57.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Java; ,,,,,,
Software Engineer,10,Lead,120.0,Self-employed (freelancer),Temporary contract,1000+,Concern,0,TypeScript; ,,,,,,
Software Engineer,6,Lead,75.0,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Data Analyst,1,Middle,63.0,Full-time employee,Unlimited contract,1000+,Product,600,Python; ,,,,,,
Data Scientist,6,Senior,60.0,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Python; ,,,,,,
Mobile Developer,8,Senior,60.0,Full-time employee,Unlimited contract,101-1000,Product,0,Swift; ,,,,,,
Backend Developer,4,Middle,44.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Frontend Developer,3,Middle,54.5,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,2,Lead,90.0,Full-time employee,Unlimited contract,1000+,Product,,,,DWH; ,,,,
Frontend Developer,8,Head,82.5,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Data Engineer,10,Middle,75.0,Full-time employee,Unlimited contract,011-050,Startup,0,Python; ,,,,,,
QA,5,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
,13,Principal,108.0,Full-time employee,Unlimited contract,1000+,Product,500,Python; ,,,,,,
Mobile Developer,16,Senior,85.0,Full-time employee,Unlimited contract,101-1000,Product,,Swift; ,,,,,,
Data Engineer,3,Middle,54.0,Full-time employee,Unlimited contract,1000+,Utilities,0,,,,,Azure; ,,
Backend Developer,7,Senior,65.0,Full-time employee,Unlimited contract,1000+,Product,0,C++; ,,,,,,
Designer (UI/UX),6,Middle,42.0,Full-time employee,Unlimited contract,51-100,Product,,,,,Figma; Sketch; ,,,
Data Scientist,6,Junior,51.0,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Product Manager,5,Lead,76.0,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Mobile Developer,16,Senior,65.0,Full-time employee,Unlimited contract,101-1000,Product,0,,,,,,iOS; ,
Mobile Developer,13,Senior,85.0,Full-time employee,Unlimited contract,1000+,Bank,,Kotlin; ,,,,,,
QA,9,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Product,500,No info,No info; ,No info,No info,No info,No info,No info
Product Manager,13,Head,90.0,Full-time employee,Unlimited contract,1000+,Product,300,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,7,Senior,86.0,Full-time employee,Unlimited contract,1000+,Product,500,Java; ,,,,,,
Software Engineer,8,Senior,60.0,Full-time employee,Unlimited contract,51-100,Product,0,JavaScript; ,,,,,,
QA,10,Senior,81.0,Full-time employee,Unlimited contract,1000+,Product,1000,JavaScript; ,,,,,,
DevOps,7,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
Software Engineer,12,Senior,74.0,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Backend Developer,10,Senior,57.6,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Software Engineer,13,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
QA,8,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
Software Engineer,11,Senior,65.0,Full-time employee,Unlimited contract,011-050,Product,0,Java; ,,,,,,
Software Engineer,11,Lead,90.0,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,React; ,,,,,
Software Engineer,30,Senior,60.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Python; ,,,,,,
Software Engineer,8,Senior,90.0,Full-time employee,Unlimited contract,1000+,Product,,Golang; ,,,,,,
Software Engineer,1,Junior,30.0,Full-time employee,Unlimited contract,0-10,Product,,,,,,,,
ML Engineer,10,Senior,90.0,Full-time employee,Unlimited contract,1000+,Product,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,6,Middle,64.0,Full-time employee,Unlimited contract,101-1000,Product,,C; ,,,,,,
Mobile Developer,2,Middle,50.0,,,,,,No info,No info; ,No info,No info,No info,No info,No info
Mobile Developer,2,Middle,44.0,Full-time employee,Unlimited contract,1000+,Product,,Objective-C; ,,,,,iOS; ,
QA,1,No info,12.0,Working Student,Temporary contract,1000+,Product,,Ruby; ,,,,,,
Backend Developer,10,Lead,80.0,Full-time employee,Unlimited contract,51-100,Product,,Ruby; ,,,,,,
Software Engineer,9,Lead,73.0,Full-time employee,Unlimited contract,101-1000,Product,300,,,,,,,
Architect ,9,Head,120.0,Full-time employee,Unlimited contract,1000+,Product,0,Golang; ,,,,,,
Software Engineer,6,Senior,71.75,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Backend Developer,5,Middle,65.0,Full-time employee,Unlimited contract,51-100,Product,,Kotlin; ,,,,,,
Frontend Developer,7,Senior,80.0,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
QA,8,Senior,60.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Java; ,,,,,,
Backend Developer,7,Senior,66.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Frontend Developer,13,Lead,85.0,Full-time employee,Unlimited contract,101-1000,Product,0,JavaScript; ,,,,,,
Data Scientist,10,Middle,65.0,Full-time employee,Unlimited contract,51-100,Product,0,Python; ,,,,,,
Head of IT,20,Head,130.0,Full-time employee,Unlimited contract,1000+,Corporation,,Java; ,,,,,,
Backend Developer,9,Senior,81.9,Full-time employee,Unlimited contract,1000+,Startup,,Java; ,,,,,,
Product Manager,10,Senior,85.0,Full-time employee,Unlimited contract,1000+,Product,,No info,No info; ,No info,No info,No info,No info,No info
QA,8,Middle,45.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Consultant,20,Senior,82.0,Full-time employee,Unlimited contract,1000+,Product,,ABAP; ,,,,,,
Data Scientist,15,Head,100.0,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
DevOps,17,Lead,72.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,,,,,,,Kubernetes; 
Product Manager,6,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info; ,No info,No info,No info,No info,No info
Product Manager,6,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info; ,No info,No info,No info,No info,No info
DevOps,10,Middle,62.0,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
DevOps,21,Lead,83.0,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,,Senior,70.0,Full-time employee,Unlimited contract,,,,C#; ,,,,,,
Mobile Developer,17,Senior,77.0,Full-time employee,Unlimited contract,1000+,Product,500,Swift; ,,,,,,
Software Engineer,8,Middle,71.0,Full-time employee,Unlimited contract,101-1000,Product,0,C++; ,,,,,,
Mobile Developer,5,Senior,65.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,iOS; ,
Software Engineer,18,Senior,120.0,Self-employed (freelancer),,0-10,Startup,,JavaScript; ,,,,,,
Backend Developer,4,Middle,43.0,Full-time employee,Unlimited contract,0-10,Consulting / Agency,,PHP; ,,,,,,
Software Engineer,18,Senior,81.0,Full-time employee,Unlimited contract,1000+,Product,0,No info,No info; ,No info,No info,No info,No info,No info
Frontend Developer,6,Middle,55.0,Full-time employee,Unlimited contract,011-050,Product,,TypeScript; ,,,,,,
QA,12,Senior,63.0,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,19,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Data Scientist,0,Junior,22.0,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
Data Engineer,5,Middle,65.0,Full-time employee,Unlimited contract,0-10,Startup,,ABAP; ,,,,,,
DevOps,12,Senior,62.0,Full-time employee,,1000+,,,No info,No info; ,No info,No info,No info,No info,No info
Data Engineer,6,Middle,65.0,Full-time employee,Unlimited contract,1000+,Product,600,Python; ,,,,,,
DevOps,3,Middle,37.0,Full-time employee,Unlimited contract,51-100,Product,,,,,,,,
Backend Developer,4,Middle,51.0,Full-time employee,Unlimited contract,101-1000,Insurance,,PHP; ,,,,,,
Software Engineer,25,"no idea, there are no ranges in the firm ",70.0,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Java; ,,,,,,
Backend Developer,10,Head,93.0,Full-time employee,,101-1000,Startup,200,No info,No info; ,No info,No info,No info,No info,No info
Business Analyst,15,Head,60.0,Self-employed (freelancer),Unlimited contract,101-1000,Consulting / Agency,,,,,UML; ,,,
Backend Developer,13,Senior,72.0,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Frontend Developer,13,Senior,70.0,Full-time employee,Unlimited contract,011-050,Product,0,JavaScript; ,,,,,,
Data Scientist,2,Lead,70.0,Full-time employee,Unlimited contract,1000+,Product,1000,,,,,,,
Frontend Developer,8,Senior,65.0,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,React; ,,,,,
Data Engineer,4,Middle,51.0,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Scala; ,,,,,,
DevOps,10,Senior,90.0,Full-time employee,Unlimited contract,1000+,Product,,No info,No info; ,No info,No info,No info,No info,No info
QA,1,Head,159.0,Full-time employee,Unlimited contract,1000+,Product,2000,Cobol; ,,,,,,
Engineering Manager,20,Lead,105.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,11,Senior,80.0,Full-time employee,Unlimited contract,101-1000,Product,600,JavaScript; ,,,,,,
Software Engineer,1,Junior,50.0,Full-time employee,Unlimited contract,51-100,Consulting / Agency,0,ABAP; ,,,,,,
Frontend Developer,5,Middle,72.0,Full-time employee,Unlimited contract,011-050,Product,,JavaScript; ,,,,,,
DevOps,16,Senior,105.0,Full-time employee,Unlimited contract,1000+,Product,900,,,,,,,
Data Engineer,2,Junior,49.0,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Python; ,,,,,,
Backend Developer,4,Middle,55.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,5,Middle,66.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Mobile Developer,6,Middle,85.0,Full-time employee,Unlimited contract,1000+,Product,440,,,,,,Android; ,
Mobile Developer,8,Senior,85.0,Full-time employee,Unlimited contract,51-100,Startup,,Clojure; ,,,,,,
Frontend Developer,6,Senior,79.0,Full-time employee,Unlimited contract,1000+,Product,700,JavaScript; ,,,,,,
QA,10,Middle,42.0,Full-time employee,Unlimited contract,011-050,Startup,0,JavaScript; ,,,,,,
Backend Developer,8,Middle,74.0,Full-time employee,Unlimited contract,1000+,Product,480,Python; ,,,,,,
Backend Developer,8,Lead,67.0,Full-time employee,Unlimited contract,51-100,Startup,,Ruby; ,,,,,,
DevOps,9,Middle,74.0,Full-time employee,Unlimited contract,101-1000,Product,0,,,,,AWS; GCP; ,,Kubernetes; 
Frontend Developer,3,Middle,48.0,Full-time employee,Unlimited contract,51-100,Consulting / Agency,0,JavaScript; ,,,,,,
Product Manager,8,Middle,57.76,Full-time employee,Unlimited contract,011-050,Product,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,13,Lead,103.0,Full-time employee,Unlimited contract,101-1000,Startup,1000,TypeScript; ,,,,,,
Frontend Developer,10,Senior,74.0,Full-time employee,Unlimited contract,101-1000,Startup,200,JavaScript; ,,,,,,
Backend Developer,13,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Product,500,Elixir; ,,,,,,
Backend Developer,6,Senior,86.0,Full-time employee,Unlimited contract,101-1000,Startup,500,Golang; ,,,,,,
QA,5,Middle,46.0,Full-time employee,Unlimited contract,51-100,Product,0,Java; ,,,,,,
No info,3,Junior,23.0,Full-time employee,Temporary contract,51-100,No info,,Python; ,,,,,,
Backend Developer,14,Lead,135.0,Self-employed (freelancer),Temporary contract,101-1000,Product,0,,Spring; ,,,,,
Software Engineer,11,Senior,80.0,Full-time employee,Temporary contract,101-1000,Research institute,,Python; ,,,,,,
Team Lead,12,Head,75.0,Full-time employee,Unlimited contract,0-10,Startup,0,PHP; ,,,,,,
Software Engineer,2,Junior,50.0,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,3,Middle,29.0,Full-time employee,Unlimited contract,011-050,Startup,,Java; ,,,,,,
Engineering Manager,15,Lead,78.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,8,Senior,75.0,Full-time employee,Temporary contract,011-050,Product,,C#; ,,,,,,
Backend Developer,2.5,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,6,Middle,70.0,Full-time employee,Unlimited contract,1000+,Product,600,Swift; ,,,,,,
Software Engineer,5,Middle,55.0,Full-time employee,Unlimited contract,011-050,Startup,,PHP; ,,,,,,
Software Engineer,8,Senior,36.0,Full-time employee,Unlimited contract,1000+,Product,,C; ,,,,,,
Hardware Engineer,12,Senior,56.0,Full-time employee,Unlimited contract,0-10,Product,1000,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,9,Head,85.0,Full-time employee,Unlimited contract,51-100,Startup,,Java; ,,,,,,
ML Engineer,7,Middle,80.0,Full-time employee,Unlimited contract,1000+,Product,500,Python; ,,,,,,
